9.7,1894,139.0,2016
9.3,705,89.0,2018
9.1,347,89.0,2017
9.8,496,128.0,2014
9.4,626,119.0,2019
9.3,1338,128.0,2012
9.3,342,99.0,2015
9.3,1683,99.0,2012
9.5,2586,45.0,2004
9.4,381,158.0,2014
9.5,569,36.0,2013
9.6,119,129.0,2014
9.2,1848,49.0,2017
8.6,502,79.0,2017
9.7,1283,128.0,2018
9.6,41,89.0,2015
9.5,988,65.0,2011
9.1,379,69.0,2012
9.2,395,59.0,2011
9.2,1007,128.0,2013
8.9,2684,65.0,2009
8.7,232,69.0,2014
9.0,1026,89.0,2008
9.6,389,99.0,2013
9.4,4952,30.0,2004
8.9,165,109.0,2012
9.2,19,99.0,2015
8.9,51,89.0,2018
9.1,1723,52.0,2009
9.1,348,79.0,2013
9.1,2176,39.0,2008
9.7,2978,99.0,2011
9.3,571,40.0,1995
9.3,5205,85.0,2006
9.4,2387,99.0,2006
9.3,4101,128.0,2006
9.0,3123,35.0,2000
9.2,2068,45.0,2008
9.2,486,56.0,2004
8.4,155,99.0,2012
8.0,64,99.0,2016
8.9,510,36.0,2011
7.6,133,129.0,2016
7.6,816,39.0,2015
7.9,1109,69.0,2013
9.1,408,79.0,2014
9.3,4611,55.0,2010
8.9,206,79.0,2017
9.0,78,79.0,2016
8.5,398,69.0,2017
